prompt,answer
36 ÷ 4,9
48 ÷ 6,8
63 ÷ 9,7
7 × 8,56
9 × 7,63
8 × 6,48
72 ÷ 8,9
54 ÷ 9,6
6 × 12,72
4 × 11,44
24 ÷ 3,8
45 ÷ 5,9
3 × 14,42
5 × 12,60
18 ÷ 2,9
7 × 9,63
32 ÷ 4,8
27 ÷ 3,9
25 × 2,50
14 × 3,42
64 ÷ 8,8
8 × 9,72
6 × 11,66
30 ÷ 5,6
12 × 7,84
40 ÷ 8,5
9 × 11,99
55 ÷ 5,11
21 × 2,42
81 ÷ 9,9
24 × 3,72
28 ÷ 4,7
16 × 4,64
63 ÷ 7,9
7 × 12,84
90 ÷ 10,9
35 ÷ 5,7
11 × 6,66
8 × 12,96
96 ÷ 12,8
45 ÷ 9,5
14 × 5,70
42 ÷ 6,7
18 × 4,72
56 ÷ 8,7
32 × 2,64
72 ÷ 9,8
33 × 2,66
77 ÷ 7,11
27 × 3,81
