prompt,answer
7 + 6,13
9 + 8,17
15 - 7,8
18 - 9,9
6 + 5,11
12 + 9,21
20 - 6,14
14 - 8,6
3 × 4,12
5 × 6,30
8 + 7,15
16 - 7,9
7 × 3,21
9 + 4,13
18 - 5,13
4 × 5,20
6 × 7,42
12 + 7,19
15 - 9,6
9 + 9,18
8 × 2,16
11 + 5,16
13 - 6,7
10 + 12,22
7 × 5,35
9 × 3,27
14 + 6,20
17 - 8,9
4 × 6,24
12 + 8,20
25 + 15,40
30 - 12,18
22 + 19,41
40 - 26,14
33 + 27,60
50 - 19,31
28 + 17,45
60 - 24,36
12 + 18,30
45 - 16,29
35 + 15,50
70 - 28,42
24 + 16,40
42 - 25,17
55 - 29,26
14 + 19,33
27 + 14,41
38 - 19,19
37 + 15,52
29 + 11,40
